,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율,통합등급,환경등급,사회등급,지배등급,통합등급변화,환경등급변화,사회등급변화,지배등급변화
1,AK홀딩스,기타금융,A006840,12,2012,Annual,1062012676.0,455173056.0,243262270,120241742,227756234.0,1062012676.0,551197541.0,446381736,132002396,278568031,76035400,510815136.0,428068164.0,368310967.0,27066943,2626757,725964,193423708,15874495,-5900676,43109465,48.1,33.41,107.91,69.47,86.04,44.89,6.32,27066943.2,13.96,33.185224436502715,23.53236746400149,40.74894756966807,33.185224436502715,23.47656435267476,20.04452123580209,45.53272157136927,9.681788289555238,31.05891146065069,340.9275303379772,-63.80524683520681,-96.31058407054944,0.4030725561697533,0.8380099449519836,0.7766147926265876,3,2.0,3.0,4.0,0.0,-1.0,0.0,1.0
2,AK홀딩스,기타금융,A006840,12,2013,Annual,2374994472.0,702558263.0,300681262,141634818,1169177816.0,2374994472.0,1739973013.0,1351772260,272943954,349773376,196176418,635021459.0,2240972021.0,1849771603.0,108947072,6606882,4400201,108312126,182498203,19058960,-160310908,26.74,41.32,274.0,154.54,82.54,18.91,4.86,108947071.7,17.46,123.63146181505653,54.34970364326661,413.3461312852583,123.63146181505653,215.6714033671641,202.8287564166828,24.31531766513668,423.50821889198,302.50970344157446,-44.002662796641246,1049.631550483968,-422.9962126373318,0.9435693629690268,3.528970539875881,1.287934930172391,3,2.0,3.0,3.0,0.0,0.0,0.0,-1.0
3,AK홀딩스,기타금융,A006840,12,2014,Annual,2773153876.0,860690585.0,330216202,229358723,1349566942.0,2773153876.0,1946141284.0,1273322616,384587781,461811659,442035089,827012591.0,2873874157.0,2148505513.0,147517194,9681363,37157968,94294011,219740235,-193620872,2781660,29.82,37.87,235.32,127.0,74.76,12.9,5.13,147517194.0,25.24,16.764645505246456,22.50807233050791,15.428716105574836,16.764645505246456,11.848934981154224,-5.80346603650529,30.233802224941808,28.24230423535483,35.40262376211452,-12.942332052461047,20.406793813745104,-1115.9047083366563,1.0363197591996876,3.475006533485776,1.476703762788067,3,2.0,3.0,3.0,0.0,0.0,0.0,0.0
4,AK홀딩스,기타금융,A006840,12,2015,Annual,2495514993.0,969178974.0,224543905,203315762,940933616.0,2495514993.0,1593921534.0,1232855273,321221478,599867254,173049776,901593459.0,2807147867.0,1970075403.0,106316161,9634828,50463121,-37443062,141247058,143427170,-146375693,36.13,30.97,176.79,85.73,70.18,-4.33,3.79,106316161.1,29.82,-10.011665252433332,12.604807220006942,-30.278848220335263,-10.011665252433332,-18.09836484615677,-3.178090335591744,9.018105505481966,-2.321823655272881,-27.92964798394959,-139.70884428704596,-35.72089426408414,-174.07629586545815,1.1248771796098762,3.113540630733436,1.7611581292558156,3,2.0,3.0,3.0,0.0,0.0,0.0,0.0
5,AK홀딩스,기타금융,A006840,12,2016,Annual,2741946503.0,1179857738.0,266392319,197859303,958537543.0,2741946503.0,1730525758.0,1314767741,381560718,361981331,208072515,1011420745.0,2921831064.0,2001793180.0,213669705,13670138,53427031,133322341,318306281,-128595637,-74273803,36.89,27.5,171.1,74.56,68.51,13.94,7.31,213669704.6,31.49,9.874976134835832,21.73785953387801,1.8708999976891016,9.874976134835832,8.570323010643266,6.644126832558062,12.181464373290218,4.085399217767671,100.97575287730716,-456.0668756203752,125.35427321962348,-189.6591887018338,1.0656046938928918,2.8888383775438577,1.6884065726804396,3,3.0,3.0,3.0,0.0,1.0,0.0,0.0
6,AK홀딩스,기타금융,A006840,12,2017,Annual,2944784347.0,1218481945.0,279391346,217784154,1103018831.0,2944784346.0,1792720288.0,1307593984,363444962,340615780,239496379,1152064058.0,3392454611.0,2328175652.0,265641267,14057626,63903795,185414017,280933528,-292512574,-39324783,39.12,25.81,155.61,65.98,68.63,17.14,7.83,265641267.1,31.37,7.397585758076341,3.273632553825734,15.073096411832454,7.397585721605893,3.5939673080555234,-0.5456292222794978,13.905519903094344,16.107144345153014,24.323318085734247,39.07197819156205,-11.741129607178568,127.46695053114436,1.152021408445771,2.944675330718459,1.8923502086232875,3,3.0,3.0,3.0,0.0,0.0,0.0,0.0
7,AK홀딩스,기타금융,A006840,12,2018,Annual,3397931239.0,1306700266.0,268844631,227029929,1396079428.0,3397931239.0,1924033598.0,1331030391,327964818,453840494,286561671,1473897641.0,3711183103.0,2665568343.0,269717896,18434400,52378017,206620399,317257801,-224601813,89961083,43.38,22.98,130.54,52.97,71.83,15.74,7.27,269717896.1,28.17,15.3881180624192,7.240018726744446,26.56895682681233,15.388118101603077,7.324807493894991,1.792330592429514,27.93538959619206,9.39521757981745,1.5346369357589262,11.437313285758766,12.929846166314473,-23.216356162521755,1.0921889944106664,2.517938152395754,1.928855663881188,3,2.0,3.0,3.0,0.0,-1.0,0.0,0.0
9,BYC,섬유의복,A001460,12,2012,Annual,505456934.0,143410428.0,16007741,121715226,57933318.0,505456934.0,172109096.0,77346753,11194876,23285699,44851433,333347838.0,216985677.0,136248902.0,33401881,0,2292302,24650594,29619439,-26222716,-1907505,65.95,16.84,51.63,25.54,62.79,7.68,15.39,33401881.16,37.21,5.759799487611095,-2.842226632725886,15.75110019684951,5.759799487611095,1.7675955195840087,-13.518641389361052,7.946133341673311,7.373846256194905,-7.611227812211863,-8.723998167266478,21.26325047181796,-53.83506381685397,0.4292861812832505,0.6509287064882658,1.2607449695744146,3,2.0,3.0,3.0,0.0,-1.0,0.0,0.0
10,BYC,섬유의복,A001460,12,2013,Annual,525157538.0,76641710.0,11406882,60457067,69384235.0,525157538.0,177223435.0,89963375,7949967,18059695,27130027,347934103.0,182448693.0,108950483.0,25118122,0,1824775,15514678,38274235,-36977060,-2589990,66.25,15.82,50.94,23.88,59.72,4.55,13.77,25118121.58,40.28,3.8975830926082367,-46.55778448691332,19.76568474810989,3.8975830926082367,2.97156810352428,16.311766830082707,4.375689096264668,-15.91671140579477,-24.800276966437902,-37.06164646580119,29.219986239442285,41.01155654509625,0.3474170697327018,0.5243771490833137,1.0294840126532927,3,3.0,3.0,3.0,0.0,1.0,0.0,0.0
11,BYC,섬유의복,A001460,12,2014,Annual,608388101.0,82095340.0,10814621,66578997,87275949.0,608388101.0,242958473.0,118618722,7598875,55168746,60053467,365429628.0,176909795.0,102833028.0,27901295,0,2310122,19050210,27875362,-85796016,57732834,60.07,23.31,66.49,38.8,58.13,5.34,15.77,27901295.0,41.87,15.84868481884001,7.115746765044784,25.786425403407563,15.84868481884001,37.09161714419993,31.85223653514555,5.02840188677911,-3.035866088665262,11.080338729145446,22.788304082108567,-27.16938170024822,132.02497981180764,0.2907844428732507,0.4841145365476496,0.7281482831841802,3,2.0,3.0,3.0,0.0,-1.0,0.0,0.0
